        latitude   reduced     regular   latitude
         number     points      points           
        -------    -------     -------   ----------
          237        1024        1024      6.848777
          238        1024        1024      6.497558
          239        1024        1024      6.146339
          240        1024        1024      5.795119
          241        1024        1024      5.443900
          242        1024        1024      5.092680
          243        1024        1024      4.741461
          244        1024        1024      4.390242
          245        1024        1024      4.039022
          246        1024        1024      3.687803
          247        1024        1024      3.336584
          248        1024        1024      2.985364
          249        1024        1024      2.634145
          250        1024        1024      2.282926
          251        1024        1024      1.931706
          252        1024        1024      1.580487
          253        1024        1024      1.229268
          254        1024        1024      0.878048
          255        1024        1024      0.526829
          256        1024        1024      0.175610
          257        1024        1024     -0.175610
          258        1024        1024     -0.526829
          259        1024        1024     -0.878048
          260        1024        1024     -1.229268
          261        1024        1024     -1.580487
          262        1024        1024     -1.931706
          263        1024        1024     -2.282926
          264        1024        1024     -2.634145
          265        1024        1024     -2.985364
          266        1024        1024     -3.336584
          267        1024        1024     -3.687803
          268        1024        1024     -4.039022
          269        1024        1024     -4.390242
          270        1024        1024     -4.741461
          271        1024        1024     -5.092680
          272        1024        1024     -5.443900
          273        1024        1024     -5.795119
          274        1024        1024     -6.146339
          275        1024        1024     -6.497558
          276        1024        1024     -6.848777
          277        1024        1024     -7.199997
          278        1024        1024     -7.551216
          279        1024        1024     -7.902435
          280        1024        1024     -8.253655
          281        1024        1024     -8.604874
          282        1024        1024     -8.956093
          283        1024        1024     -9.307313
          284        1024        1024     -9.658532
          285        1024        1024    -10.009751
          286        1024        1024    -10.360971
          287        1024        1024    -10.712190
          288        1024        1024    -11.063409
          289        1024        1024    -11.414629
          290        1024        1024    -11.765848
          291        1024        1024    -12.117067
          292        1024        1024    -12.468287
          293        1024        1024    -12.819506
          294        1024        1024    -13.170725
          295        1024        1024    -13.521945
          296        1024        1024    -13.873164
          297        1024        1024    -14.224383
          298        1024        1024    -14.575603
          299        1024        1024    -14.926822
          300        1024        1024    -15.278041
          301        1024        1024    -15.629261
          302        1000        1024    -15.980480
          303        1000        1024    -16.331699
          304        1000        1024    -16.682919
          305        1000        1024    -17.034138
          306        1000        1024    -17.385357
          307        1000        1024    -17.736577
          308        1000        1024    -18.087796
          309        1000        1024    -18.439015
          310        1000        1024    -18.790235
          311        1000        1024    -19.141454
          312        1000        1024    -19.492673
          313        1000        1024    -19.843893
          314        1000        1024    -20.195112
          315        1000        1024    -20.546331
          316        1000        1024    -20.897551
          317        1000        1024    -21.248770
          318         972        1024    -21.599989
          319         972        1024    -21.951209
          320         972        1024    -22.302428
          321         972        1024    -22.653647
          322         972        1024    -23.004866
          323         960        1024    -23.356086
          324         960        1024    -23.707305
          325         960        1024    -24.058524
          326         960        1024    -24.409744
          327         960        1024    -24.760963
          328         960        1024    -25.112182
          329         960        1024    -25.463402
          330         960        1024    -25.814621
          331         960        1024    -26.165840
          332         960        1024    -26.517060
          333         960        1024    -26.868279
          334         960        1024    -27.219498
          335         960        1024    -27.570717
          336         960        1024    -27.921937
          337         960        1024    -28.273156
          338         960        1024    -28.624375
          339         960        1024    -28.975595
          340         960        1024    -29.326814
          341         960        1024    -29.678033
          342         960        1024    -30.029253
          343         960        1024    -30.380472
          344         960        1024    -30.731691
          345         900        1024    -31.082910
          346         900        1024    -31.434130
          347         900        1024    -31.785349
          348         900        1024    -32.136568
          349         900        1024    -32.487788
          350         900        1024    -32.839007
          351         900        1024    -33.190226
          352         900        1024    -33.541445
          353         900        1024    -33.892665
          354         900        1024    -34.243884
          355         900        1024    -34.595103
          356         864        1024    -34.946322
          357         864        1024    -35.297542
          358         864        1024    -35.648761
          359         864        1024    -35.999980
          360         864        1024    -36.351199
          361         864        1024    -36.702419
          362         864        1024    -37.053638
          363         864        1024    -37.404857
          364         864        1024    -37.756076
          365         864        1024    -38.107296
          366         864        1024    -38.458515
          367         864        1024    -38.809734
          368         864        1024    -39.160953
          369         864        1024    -39.512173
          370         810        1024    -39.863392
          371         810        1024    -40.214611
          372         800        1024    -40.565830
          373         800        1024    -40.917050
          374         800        1024    -41.268269
          375         800        1024    -41.619488
          376         800        1024    -41.970707
          377         800        1024    -42.321926
          378         800        1024    -42.673146
          379         800        1024    -43.024365
          380         768        1024    -43.375584
          381         768        1024    -43.726803
          382         768        1024    -44.078022
          383         768        1024    -44.429242
          384         750        1024    -44.780461
          385         750        1024    -45.131680
          386         750        1024    -45.482899
          387         750        1024    -45.834118
          388         750        1024    -46.185337
          389         729        1024    -46.536557
          390         729        1024    -46.887776
          391         720        1024    -47.238995
          392         720        1024    -47.590214
          393         720        1024    -47.941433
          394         720        1024    -48.292652
          395         720        1024    -48.643871
          396         720        1024    -48.995091
          397         720        1024    -49.346310
          398         720        1024    -49.697529
          399         720        1024    -50.048748
          400         675        1024    -50.399967
          401         675        1024    -50.751186
          402         675        1024    -51.102405
          403         675        1024    -51.453624
          404         675        1024    -51.804843
          405         675        1024    -52.156062
          406         648        1024    -52.507282
          407         640        1024    -52.858501
          408         640        1024    -53.209720
          409         640        1024    -53.560939
          410         640        1024    -53.912158
          411         640        1024    -54.263377
          412         640        1024    -54.614596
          413         640        1024    -54.965815
          414         640        1024    -55.317034
          415         600        1024    -55.668253
          416         600        1024    -56.019472
          417         600        1024    -56.370691
          418         600        1024    -56.721910
          419         600        1024    -57.073129
          420         576        1024    -57.424348
          421         576        1024    -57.775566
          422         576        1024    -58.126785
          423         576        1024    -58.478004
          424         576        1024    -58.829223
          425         576        1024    -59.180442
          426         540        1024    -59.531661
          427         540        1024    -59.882880
          428         540        1024    -60.234099
          429         540        1024    -60.585317
          430         540        1024    -60.936536
          431         512        1024    -61.287755
          432         512        1024    -61.638974
          433         500        1024    -61.990193
          434         500        1024    -62.341411
          435         500        1024    -62.692630
          436         486        1024    -63.043849
          437         480        1024    -63.395068
          438         480        1024    -63.746286
          439         480        1024    -64.097505
          440         480        1024    -64.448723
          441         480        1024    -64.799942
          442         450        1024    -65.151161
          443         450        1024    -65.502379
          444         450        1024    -65.853598
          445         432        1024    -66.204816
          446         432        1024    -66.556035
          447         432        1024    -66.907253
          448         432        1024    -67.258472
          449         432        1024    -67.609690
          450         400        1024    -67.960908
          451         400        1024    -68.312127
          452         400        1024    -68.663345
          453         384        1024    -69.014563
          454         384        1024    -69.365781
          455         375        1024    -69.716999
          456         375        1024    -70.068217
          457         360        1024    -70.419436
          458         360        1024    -70.770654
          459         360        1024    -71.121871
          460         360        1024    -71.473089
          461         360        1024    -71.824307
          462         360        1024    -72.175525
          463         324        1024    -72.526743
          464         320        1024    -72.877960
          465         320        1024    -73.229178
          466         320        1024    -73.580395
          467         300        1024    -73.931613
          468         300        1024    -74.282830
          469         288        1024    -74.634047
          470         288        1024    -74.985264
          471         288        1024    -75.336481
          472         270        1024    -75.687698
          473         270        1024    -76.038915
          474         256        1024    -76.390131
          475         250        1024    -76.741348
          476         243        1024    -77.092564
          477         240        1024    -77.443780
          478         240        1024    -77.794996
          479         225        1024    -78.146212
          480         216        1024    -78.497427
          481         216        1024    -78.848642
          482         216        1024    -79.199857
          483         200        1024    -79.551072
          484         192        1024    -79.902286
          485         192        1024    -80.253500
          486         180        1024    -80.604713
          487         180        1024    -80.955926
          488         180        1024    -81.307139
          489         160        1024    -81.658351
          490         160        1024    -82.009562
          491         150        1024    -82.360772
          492         144        1024    -82.711982
          493         135        1024    -83.063191
          494         125        1024    -83.414398
          495         120        1024    -83.765604
          496         120        1024    -84.116809
          497         108        1024    -84.468011
          498         100        1024    -84.819212
          499          96        1024    -85.170409
          500          90        1024    -85.521603
          501          81        1024    -85.872793
          502          75        1024    -86.223977
          503          72        1024    -86.575154
          504          72        1024    -86.926322
          505          64        1024    -87.277476
          506          60        1024    -87.628611
          507          50        1024    -87.979716
          508          45        1024    -88.330774
          509          40        1024    -88.681746
          510          32        1024    -89.032542
          511          25        1024    -89.382874
          512          18        1024    -89.731149
